address,lat_lon,closest_mrt,mrt_1,mrt_2,mrt_1_latitude,mrt_1_longitude,mrt_2_latitude,mrt_2_longitude,closest_mrt_time
329 UBI AVE 1,"['1.3270269894911', '103.904816431751']","['UBI', 'EUNOS']",UBI,EUNOS,1.32997425973974,103.899226655439,1.31978354916088,103.903225807255,"('UBI', 616)"
175 ANG MO KIO AVE 4,"['1.37572264709308', '103.837123341994']","['YIO CHU KANG', 'ANG MO KIO']",YIO CHU KANG,ANG MO KIO,1.38175587099132,103.84494727118,1.36993284962262,103.84955809232,"('YIO CHU KANG', 1060)"
175 ANG MO KIO AVE 4,"['1.37572264709308', '103.837123341994']","['MAYFLOWER', 'YIO CHU KANG']",MAYFLOWER,YIO CHU KANG,1.37146318831015,103.836567766945,1.38175587099132,103.84494727118,"('MAYFLOWER', 409)"
125 BEDOK RESERVOIR RD,"['1.33295993404917', '103.909904762523']","['KEMBANGAN', 'EUNOS']",KEMBANGAN,EUNOS,1.3210381335934,103.912947930851,1.31978354916088,103.903225807255,"('KEMBANGAN', 1382)"
125 BEDOK RESERVOIR RD,"['1.33295993404917', '103.909904762523']","['KAKI BUKIT', 'BEDOK NORTH']",KAKI BUKIT,BEDOK NORTH,1.33496735995428,103.908459338046,1.33474211664091,103.91797832995,"('KAKI BUKIT', 271)"
134 BEDOK RESERVOIR RD,"['1.33287858460019', '103.912838489269']","['KEMBANGAN', 'EUNOS']",KEMBANGAN,EUNOS,1.3210381335934,103.912947930851,1.31978354916088,103.903225807255,"('KEMBANGAN', 1417)"
134 BEDOK RESERVOIR RD,"['1.33287858460019', '103.912838489269']","['KAKI BUKIT', 'BEDOK NORTH']",KAKI BUKIT,BEDOK NORTH,1.33496735995428,103.908459338046,1.33474211664091,103.91797832995,"('BEDOK NORTH', 559)"
120 BEDOK RESERVOIR RD,"['1.33089247225844', '103.909920867054']","['KEMBANGAN', 'EUNOS']",KEMBANGAN,EUNOS,1.3210381335934,103.912947930851,1.31978354916088,103.903225807255,"('KEMBANGAN', 1199)"
120 BEDOK RESERVOIR RD,"['1.33089247225844', '103.909920867054']","['KAKI BUKIT', 'BEDOK NORTH']",KAKI BUKIT,BEDOK NORTH,1.33496735995428,103.908459338046,1.33474211664091,103.91797832995,"('KAKI BUKIT', 457)"
740 BEDOK RESERVOIR RD,"['1.3380258563727', '103.922835001967']","['BEDOK', 'KEMBANGAN']",BEDOK,KEMBANGAN,1.32397996868158,103.929984495066,1.3210381335934,103.912947930851,"('BEDOK', 1664)"
740 BEDOK RESERVOIR RD,"['1.3380258563727', '103.922835001967']","['BEDOK NORTH', 'BEDOK RESERVOIR']",BEDOK NORTH,BEDOK RESERVOIR,1.33474211664091,103.91797832995,1.33660782955099,103.932234623286,"('BEDOK NORTH', 632)"
403 SIN MING AVE,"['1.3628703224303', '103.833604034312']","['ANG MO KIO', 'BISHAN']",ANG MO KIO,BISHAN,1.36993284962262,103.84955809232,1.35131580146658,103.84914026532,"('ANG MO KIO', 1939)"
403 SIN MING AVE,"['1.3628703224303', '103.833604034312']","['MARYMOUNT', 'ANG MO KIO']",MARYMOUNT,ANG MO KIO,1.348707263451,103.839423132332,1.36993284962262,103.84955809232,"('MARYMOUNT', 1800)"
403 SIN MING AVE,"['1.3628703224303', '103.833604034312']","['BRIGHT HILL', 'UPPER THOMSON']",BRIGHT HILL,UPPER THOMSON,1.36328318545185,103.832893619992,1.35441643365401,103.832898468504,"('BRIGHT HILL', 126)"
5 DELTA AVE,"['1.29223145125728', '103.827600712862']","['TIONG BAHRU', 'REDHILL']",TIONG BAHRU,REDHILL,1.28610253615775,103.827445112419,1.28963453412887,103.81674097205,"('TIONG BAHRU', 839)"
