address,lat_lon,closest_mrt,mrt_1,mrt_2,mrt_1_latitude,mrt_1_longitude,mrt_2_latitude,mrt_2_longitude,closest_mrt_time
880 WOODLANDS ST 82,"['1.44449065554151', '103.79265042543']","['ADMIRALTY', 'WOODLANDS']",ADMIRALTY,WOODLANDS,1.44058856161847,103.800990519771,1.43605761708128,103.787938777173,"('UNKNOWN', None)"
880 WOODLANDS ST 82,"['1.44449065554151', '103.79265042543']","['WOODLANDS NORTH', 'ADMIRALTY']",WOODLANDS NORTH,ADMIRALTY,1.44829245259621,103.785692682441,1.44058856161847,103.800990519771,"('ADMIRALTY', 973)"
450C TAMPINES ST 42,"['1.35713537771761', '103.952252237838']","['TAMPINES', 'SIMEI']",TAMPINES,SIMEI,1.35330167637376,103.945144586749,1.34319707851829,103.953377214378,"('TAMPINES', 877)"
450C TAMPINES ST 42,"['1.35713537771761', '103.952252237838']","['TAMPINES EAST', 'TAMPINES']",TAMPINES EAST,TAMPINES,1.35619148271544,103.9546344625,1.35330167637376,103.945144586749,"('TAMPINES EAST', 332)"
80B LOR 4 TOA PAYOH,"['1.33529401120542', '103.849888208873']","['TOA PAYOH', 'BRADDELL']",TOA PAYOH,BRADDELL,1.33262928096888,103.847502198048,1.3404690010277,103.846799083148,"('TOA PAYOH', 489)"
82A LOR 4 TOA PAYOH,"['1.33597952666562', '103.848953918024']","['TOA PAYOH', 'BRADDELL']",TOA PAYOH,BRADDELL,1.33262928096888,103.847502198048,1.3404690010277,103.846799083148,"('TOA PAYOH', 474)"
668 JLN DAMAI,"['1.33333628302007', '103.908903033464']","['KEMBANGAN', 'EUNOS']",KEMBANGAN,EUNOS,1.3210381335934,103.912947930851,1.31978354916088,103.903225807255,"('KEMBANGAN', 1428)"
668 JLN DAMAI,"['1.33333628302007', '103.908903033464']","['KAKI BUKIT', 'BEDOK NORTH']",KAKI BUKIT,BEDOK NORTH,1.33496735995428,103.908459338046,1.33474211664091,103.91797832995,"('KAKI BUKIT', 232)"
667 JLN DAMAI,"['1.33374545014475', '103.908858611231']","['KEMBANGAN', 'EUNOS']",KEMBANGAN,EUNOS,1.3210381335934,103.912947930851,1.31978354916088,103.903225807255,"('KEMBANGAN', 1470)"
667 JLN DAMAI,"['1.33374545014475', '103.908858611231']","['KAKI BUKIT', 'BEDOK NORTH']",KAKI BUKIT,BEDOK NORTH,1.33496735995428,103.908459338046,1.33474211664091,103.91797832995,"('KAKI BUKIT', 174)"
104 JURONG EAST ST 13,"['1.33658465311802', '103.737623303842']","['JURONG EAST', 'CHINESE GARDEN']",JURONG EAST,CHINESE GARDEN,1.33315281585758,103.742286332403,1.34235282081401,103.732596738363,"('JURONG EAST', 606)"
201 HOUGANG ST 21,"['1.35779540529821', '103.88365310526']","['BISHAN', 'ANG MO KIO']",BISHAN,ANG MO KIO,1.35131580146658,103.84914026532,1.36993284962262,103.84955809232,"('ANG MO KIO', 3580)"
201 HOUGANG ST 21,"['1.35779540529821', '103.88365310526']","['KOVAN', 'SERANGOON']",KOVAN,SERANGOON,1.36017917065237,103.885064856353,1.35063361526525,103.872771660431,"('KOVAN', 319)"
786 CHOA CHU KANG DR,"['1.39508340781996', '103.748349077227']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 278)"
784 CHOA CHU KANG DR,"['1.3947072213297', '103.747269527804']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 289)"
765 CHOA CHU KANG NTH 5,"['1.39272346157669', '103.749748275147']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 601)"
788 CHOA CHU KANG NTH 6,"['1.39579180989479', '103.748287590175']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 216)"
791 CHOA CHU KANG NTH 6,"['1.39556435453546', '103.749987137326']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 363)"
768 CHOA CHU KANG ST 54,"['1.39412652775516', '103.749961592812']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 572)"
785 CHOA CHU KANG DR,"['1.39485524508122', '103.748044130582']","['YEW TEE', 'CHOA CHU KANG']",YEW TEE,CHOA CHU KANG,1.39753506936297,103.747405150236,1.38536316540225,103.744370779756,"('YEW TEE', 302)"
776 PASIR RIS ST 71,"['1.37461117497015', '103.937175821555']","['PASIR RIS', 'TAMPINES']",PASIR RIS,TAMPINES,1.37304331635804,103.949284527763,1.35330167637376,103.945144586749,"('PASIR RIS', 1324)"
777 PASIR RIS ST 71,"['1.37503611411448', '103.937312816562']","['PASIR RIS', 'TAMPINES']",PASIR RIS,TAMPINES,1.37304331635804,103.949284527763,1.35330167637376,103.945144586749,"('PASIR RIS', 1297)"
774 PASIR RIS ST 71,"['1.37418060035722', '103.936690264102']","['PASIR RIS', 'TAMPINES']",PASIR RIS,TAMPINES,1.37304331635804,103.949284527763,1.35330167637376,103.945144586749,"('PASIR RIS', 1326)"
751 PASIR RIS ST 71,"['1.37786494222766', '103.934075386369']","['PASIR RIS', 'TAMPINES']",PASIR RIS,TAMPINES,1.37304331635804,103.949284527763,1.35330167637376,103.945144586749,"('PASIR RIS', 1569)"
67 KALLANG BAHRU,"['1.32139446427243', '103.869336174701']","['KALLANG', 'ALJUNIED']",KALLANG,ALJUNIED,1.31148890998818,103.871386541754,1.3164326118157,103.882906044385,"('KALLANG', 1122)"
67 KALLANG BAHRU,"['1.32139446427243', '103.869336174701']","['BOON KENG', 'POTONG PASIR']",BOON KENG,POTONG PASIR,1.31933570922514,103.861569454156,1.33137949021368,103.869055656782,"('BOON KENG', 883)"
67 KALLANG BAHRU,"['1.32139446427243', '103.869336174701']","['GEYLANG BAHRU', 'BOON KENG']",GEYLANG BAHRU,BOON KENG,1.32130110228321,103.871622627142,1.31933570922514,103.861569454156,"('GEYLANG BAHRU', 279)"
765 JURONG WEST ST 74,"['1.35008225208999', '103.69839455351']","['BOON LAY', 'LAKESIDE']",BOON LAY,LAKESIDE,1.33860405469845,103.706064622772,1.34425911493819,103.720949087456,"('BOON LAY', 1344)"
765 JURONG WEST ST 74,"['1.35008225208999', '103.69839455351']","['PIONEER', 'BOON LAY']",PIONEER,BOON LAY,1.33758701106708,103.697321608474,1.33860405469845,103.706064622772,"('PIONEER', 1329)"
748 PASIR RIS ST 71,"['1.37850680268582', '103.934795695239']","['PASIR RIS', 'TAMPINES']",PASIR RIS,TAMPINES,1.37304331635804,103.949284527763,1.35330167637376,103.945144586749,"('PASIR RIS', 1493)"
737 PASIR RIS DR 10,"['1.37941634729714', '103.936978237381']","['PASIR RIS', 'TAMPINES']",PASIR RIS,TAMPINES,1.37304331635804,103.949284527763,1.35330167637376,103.945144586749,"('PASIR RIS', 1393)"
865 WOODLANDS ST 83,"['1.44099129535005', '103.792791376738']","['WOODLANDS', 'ADMIRALTY']",WOODLANDS,ADMIRALTY,1.43605761708128,103.787938777173,1.44058856161847,103.800990519771,"('WOODLANDS', 738)"
450F TAMPINES ST 42,"['1.35792801646925', '103.953020770178']","['TAMPINES', 'SIMEI']",TAMPINES,SIMEI,1.35330167637376,103.945144586749,1.34319707851829,103.953377214378,"('TAMPINES', 1000)"
450F TAMPINES ST 42,"['1.35792801646925', '103.953020770178']","['TAMPINES EAST', 'TAMPINES']",TAMPINES EAST,TAMPINES,1.35619148271544,103.9546344625,1.35330167637376,103.945144586749,"('TAMPINES EAST', 395)"
82B LOR 4 TOA PAYOH,"['1.33562239265484', '103.848851474907']","['TOA PAYOH', 'BRADDELL']",TOA PAYOH,BRADDELL,1.33262928096888,103.847502198048,1.3404690010277,103.846799083148,"('TOA PAYOH', 440)"
672 JLN DAMAI,"['1.33207912967501', '103.908757101121']","['KEMBANGAN', 'EUNOS']",KEMBANGAN,EUNOS,1.3210381335934,103.912947930851,1.31978354916088,103.903225807255,"('KEMBANGAN', 1332)"
