ds_x,Quarter,year,5 year bond yields,Core inflation,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,GDPm (Current Prices),Personal Income m,GDP per capita,Unemployment Rate,Median Household Inc,ResidentPopulation,ResidentPopulation_Growth_Rate
2024-01-01,Q1 2024,2024,1.9810754642741129,107.34627538324298,136.93040361970313,133.24532720719827,161067.59713514565,77550.30848502916,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-02-01,Q1 2024,2024,1.9676248242386845,107.5384201121289,138.2849024164278,133.53424996422186,161067.59713514565,77550.30848502916,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-03-01,Q1 2024,2024,1.9251637939121797,107.47787562432406,138.17199263061002,134.30566887887423,161067.59713514565,77550.30848502916,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-04-01,Q2 2024,2024,1.92103693537347,107.61496696178912,138.68914180368398,134.5640823654873,159990.5532484256,77857.634641761,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-05-01,Q2 2024,2024,2.053066325651701,107.67611400664248,138.90446016844376,134.58703497538113,159990.5532484256,77857.634641761,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-06-01,Q2 2024,2024,2.083618494067695,107.68435630209564,138.65398343184538,135.7829241184959,159990.5532484256,77857.634641761,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-07-01,Q3 2024,2024,2.031298346651285,107.89565452946651,139.75155529185565,136.28115333045514,162828.17819057193,78481.51829191722,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-08-01,Q3 2024,2024,2.0960424046554027,108.04768150082802,139.48730614266506,136.532943549243,162828.17819057193,78481.51829191722,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-09-01,Q3 2024,2024,2.155314698577049,108.13164732302403,140.95676938189428,136.7098671379736,162828.17819057193,78481.51829191722,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
2024-10-01,Q4 2024,2024,2.0793426474329877,108.31744341631979,140.30556421063454,136.90875015540527,166886.7581865866,79161.14269499945,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.839836574,0.5681932697247039
